"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Arch","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"C5A 12xlarge","c5a.12xlarge","96.0 GiB","48 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","64-bit","12 Gigabit","$1.8480 hourly","$1.1640 hourly","$0.6526 hourly"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton2 Processor","unknown","EBS only","64-bit","20 Gigabit","$1.8480 hourly","$1.1592 hourly","$0.4838 hourly"
"M7A Eight Extra Large","m7a.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","12.5 Gigabit","$1.8547 hourly","$1.2269 hourly","$0.6315 hourly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","8000 GB                 (4 * 2000 GB HDD)","64-bit","10 Gigabit","$1.8720 hourly","$1.2720 hourly","$0.5927 hourly"
"R8G Eight Extra Large","r8g.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","15 Gigabit","$1.8851 hourly","$1.2470 hourly","$0.4149 hourly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","12.5 Gigabit","$1.8984 hourly","$1.1960 hourly","$0.6775 hourly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","25 Gigabit","$1.9040 hourly","$1.2000 hourly","$0.7617 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","36 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","64-bit","50 Gigabit","$1.9440 hourly","$1.2250 hourly","$0.7095 hourly"
"M7G 12xlarge","m7g.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","22.5 Gigabit","$1.9584 hourly","$1.2955 hourly","$0.5677 hourly"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","2.95 GHz","EBS only","64-bit","Up to 25 Gigabit","$1.9679 hourly","$1.2397 hourly","$0.6711 hourly"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","50 Gigabit","$1.9820 hourly","$1.2487 hourly","$0.7753 hourly"
"C7GN Eight Extra Large","c7gn.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","100 Gigabit","$1.9968 hourly","$1.2580 hourly","$0.4192 hourly"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","23760 GB                 (12 * 1980 GB NVMe HDD)","64-bit","Up to 15 Gigabit","$1.9980 hourly","$1.2590 hourly","$0.6485 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","EBS only","64-bit","10 Gigabit","$2.0000 hourly","$1.2390 hourly","$0.6599 hourly"
"G6 Graphics and Machine Learning GPU Eight Extra Large","g6.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","2.6 GHz","900 GB                 (2 * 450 GB NVMe SSD)","64-bit","25 Gigabit","$2.0144 hourly","$1.3114 hourly","$0.7249 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","10 Gigabit","$2.0160 hourly","$1.2700 hourly","$0.5977 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","12.5 Gigabit","$2.0160 hourly","$1.3336 hourly","$0.5261 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","18.75 Gigabit","$2.0400 hourly","$1.3495 hourly","$0.6735 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon Platinum 8275L","3.4 GHz","EBS only","64-bit","12 Gigabit","$2.0400 hourly","$1.2850 hourly","$0.5414 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","10 Gigabit","$2.0640 hourly","$1.3000 hourly","$0.5778 hourly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","AMD EPYC 7R32","3.3 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","64-bit","12 Gigabit","$2.0640 hourly","$1.3000 hourly","$0.6740 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","75 Gigabit","$2.0736 hourly","$1.3088 hourly","$0.4664 hourly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","18.75 Gigabit","$2.0736 hourly","$1.3717 hourly","$0.5771 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$2.0960 hourly","$1.3200 hourly","$0.8330 hourly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","111840 GB                 (8 * 13980 GB NVMe HDD)","64-bit","25 Gigabit","$2.1030 hourly","$1.3250 hourly","$0.6038 hourly"
"R7I Eight Extra Large","r7i.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","12.5 Gigabit","$2.1168 hourly","$1.4003 hourly","$0.5256 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","10 Gigabit","$2.1280 hourly","$1.3440 hourly","$0.5561 hourly"
"C7I 12xlarge","c7i.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","18.75 Gigabit","$2.1420 hourly","$1.4169 hourly","$0.6719 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","20 Gigabit","$2.1696 hourly","$1.3668 hourly","$0.7499 hourly"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","25 Gigabit","$2.1760 hourly","$1.3710 hourly","$0.9374 hourly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Family","2.5 GHz","900 GB                 NVMe SSD","64-bit","50 Gigabit","$2.1760 hourly","$1.3710 hourly","$0.7396 hourly"
"C6G 16xlarge","c6g.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$0.4739 hourly"
"C6G Metal","c6g.metal","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","25 Gigabit","$2.1760 hourly","$1.3709 hourly","$0.4935 hourly"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","22.5 Gigabit","$2.1773 hourly","$1.3721 hourly","$0.6561 hourly"
"R7GD Eight Extra Large","r7gd.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","15 Gigabit","$2.1773 hourly","$1.3684 hourly","$0.7919 hourly"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$2.2277 hourly","$1.4034 hourly","$0.9361 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","Intel Xeon Platinum 8151","4 GHz","900 GB                 NVMe SSD","64-bit","12 Gigabit","$2.2320 hourly","$1.4060 hourly","$0.6189 hourly"
"G3 Graphics GPU Eight Extra Large","g3.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","10 Gigabit","$2.2800 hourly","$1.5561 hourly","$0.6465 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.6421 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","18.75 Gigabit","$2.3040 hourly","$1.5241 hourly","$0.6777 hourly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","10 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.7101 hourly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon Platinum 8275L","3.4 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","64-bit","12 Gigabit","$2.3040 hourly","$1.4520 hourly","$0.6663 hourly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","15000 GB                 (2 * 7500 GB NVMe SSD)","64-bit","25 Gigabit","$2.3052 hourly","$1.5722 hourly","$1.0547 hourly"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","30 Gigabit","$2.3200 hourly","$1.5288 hourly","$0.5136 hourly"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","30 Gigabit","$2.3200 hourly","$1.5288 hourly","$0.4835 hourly"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","64-bit","25 Gigabit","$2.3840 hourly","$1.5020 hourly","$0.6162 hourly"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","10 Gigabit","$2.3840 hourly","$1.5019 hourly","$1.1573 hourly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","12.5 Gigabit","$2.4192 hourly","$1.5204 hourly","$0.7718 hourly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","18.75 Gigabit","$2.4192 hourly","$1.5246 hourly","$0.7139 hourly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","18.75 Gigabit","$2.4192 hourly","$1.6003 hourly","$0.7245 hourly"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","20 Gigabit","$2.4192 hourly","$1.5241 hourly","$0.5997 hourly"
"R7A Eight Extra Large","r7a.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","12.5 Gigabit","$2.4344 hourly","$1.6104 hourly","$0.5452 hourly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large","gr6.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 7R32","2.6 GHz","900 GB                 (2 * 450 GB NVMe SSD)","64-bit","25 Gigabit","$2.4464 hourly","$1.5926 hourly","$0.8714 hourly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R32","2.8 GHz","900 GB                 NVMe SSD","64-bit","25 Gigabit","$2.4480 hourly","$1.5422 hourly","$0.9783 hourly"
"C6A 16xlarge","c6a.16xlarge","128.0 GiB","64 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","25 Gigabit","$2.4480 hourly","$1.6194 hourly","$0.7505 hourly"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","25 Gigabit","$2.4576 hourly","$1.5483 hourly","$0.4932 hourly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","25 Gigabit","$2.4576 hourly","$1.5483 hourly","$0.5304 hourly"
"C7A 12xlarge","c7a.12xlarge","96.0 GiB","48 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","18.75 Gigabit","$2.4634 hourly","$1.6295 hourly","$0.5478 hourly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","64-bit","20 Gigabit","$2.4640 hourly","$1.5520 hourly","$0.9673 hourly"
"M6G Metal","m6g.metal","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","unknown","EBS only","64-bit","25 Gigabit","$2.4640 hourly","$1.5456 hourly","$0.5223 hourly"
"M6G 16xlarge","m6g.16xlarge","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","unknown","EBS only","64-bit","25 Gigabit","$2.4640 hourly","$1.5456 hourly","$0.6305 hourly"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","7500 GB                 (2 * 3750 GB NVMe SSD)","64-bit","18.75 Gigabit","$2.4710 hourly","$1.6036 hourly","$0.6642 hourly"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 7571","2.5 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","64-bit","10 Gigabit","$2.4720 hourly","$1.5570 hourly","$0.8851 hourly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","7600 GB                 (4 * 1900 GB NVMe SSD)","64-bit","10 Gigabit","$2.4960 hourly","$1.7140 hourly","$0.6433 hourly"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","50 Gigabit","$2.5459 hourly","$1.6039 hourly","$0.7511 hourly"
"M7GD 12xlarge","m7gd.12xlarge","192.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","22.5 Gigabit","$2.5628 hourly","$1.6146 hourly","$0.6679 hourly"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","22.5 Gigabit","$2.5704 hourly","$1.7003 hourly","$0.5983 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","32 vCPUs","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","EBS only","64-bit","High","$2.6000 hourly","unavailable","unavailable"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","30 Gigabit","$2.6112 hourly","$1.7273 hourly","$0.5308 hourly"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","30 Gigabit","$2.6112 hourly","$1.7273 hourly","$0.6529 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","640 GB                 (2 * 320 GB SSD)","64-bit","10 Gigabit","$2.6600 hourly","$1.6720 hourly","$0.8410 hourly"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","25 Gigabit","$2.6720 hourly","$1.6830 hourly","$1.0176 hourly"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","12 Gigabit","$2.6720 hourly","$1.6466 hourly","$0.5926 hourly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","15000 GB                 (2 * 7500 GB NVMe SSD)","64-bit","25 Gigabit","$2.7120 hourly","$1.8470 hourly","$0.5439 hourly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","64-bit","12 Gigabit","$2.7120 hourly","$1.7090 hourly","$0.7689 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","10 Gigabit","$2.7120 hourly","$1.7090 hourly","$0.8771 hourly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","25 Gigabit","$2.7200 hourly","$1.7993 hourly","$0.7771 hourly"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","18.75 Gigabit","$2.7216 hourly","$1.8003 hourly","$0.8817 hourly"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","75 Gigabit","$2.7216 hourly","$1.7146 hourly","$0.9850 hourly"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","25 Gigabit","$2.7440 hourly","$1.7287 hourly","$0.5308 hourly"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","25 Gigabit","$2.7440 hourly","$1.7287 hourly","$0.6356 hourly"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","7500 GB                 (2 * 3750 GB NVMe SSD)","64-bit","18.75 Gigabit","$2.7460 hourly","$1.7820 hourly","$0.8387 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","64 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","12 Gigabit","$2.7520 hourly","$1.7340 hourly","$0.9370 hourly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","AMD EPYC 7R32","3.3 GHz","2400 GB                 (2 * 1200 GB NVMe SSD)","64-bit","20 Gigabit","$2.7520 hourly","$1.7340 hourly","$0.8851 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","24576 GB                 (12 * 2048 GB HDD)","64-bit","High","$2.7600 hourly","$1.6080 hourly","$0.5650 hourly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","20 Gigabit","$2.7648 hourly","$1.7418 hourly","$0.7035 hourly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","25 Gigabit","$2.7648 hourly","$1.8289 hourly","$0.9277 hourly"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","100 Gigabit","$2.7648 hourly","$1.7450 hourly","$0.5667 hourly"
"M7A 12xlarge","m7a.12xlarge","192.0 GiB","48 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","18.75 Gigabit","$2.7821 hourly","$1.8403 hourly","$0.7644 hourly"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$2.7893 hourly","$1.7572 hourly","$1.1877 hourly"
"R8G 12xlarge","r8g.12xlarge","384.0 GiB","48 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","22.5 Gigabit","$2.8277 hourly","$1.8705 hourly","$0.6581 hourly"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","18.75 Gigabit","$2.8476 hourly","$1.7940 hourly","$0.6967 hourly"
"M5N 12xlarge","m5n.12xlarge","192.0 GiB","48 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","50 Gigabit","$2.8560 hourly","$1.7990 hourly","$1.1457 hourly"
"C7I 16xlarge","c7i.16xlarge","128.0 GiB","64 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","25 Gigabit","$2.8560 hourly","$1.8892 hourly","$0.7698 hourly"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","25 Gigabit","$2.8928 hourly","$1.8225 hourly","$0.6771 hourly"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","25 Gigabit","$2.8928 hourly","$1.8225 hourly","$0.5975 hourly"
"C7GD Metal","c7gd.metal","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","30 Gigabit","$2.9030 hourly","$1.8295 hourly","$0.5438 hourly"
"C7GD 16xlarge","c7gd.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","30 Gigabit","$2.9030 hourly","$1.8295 hourly","$0.6050 hourly"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","15000 GB                 (2 * 7500 GB NVMe SSD)","64-bit","50 Gigabit","$2.9103 hourly","$1.8665 hourly","$0.5967 hourly"
"R7IZ Eight Extra Large","r7iz.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","12.5 Gigabit","$2.9760 hourly","$1.8749 hourly","$1.4202 hourly"
"C7GN 12xlarge","c7gn.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","150 Gigabit","$2.9952 hourly","$1.8870 hourly","$0.6191 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","18.75 Gigabit","$3.0240 hourly","$2.0004 hourly","$0.8556 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","12 Gigabit","$3.0240 hourly","$1.9050 hourly","$0.8704 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","64-bit","25 Gigabit","$3.0600 hourly","$1.9280 hourly","$0.8644 hourly"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$3.0600 hourly","$2.0880 hourly","$1.6016 hourly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","25 Gigabit","$3.0720 hourly","$2.0321 hourly","$0.8242 hourly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","20 Gigabit","$3.0720 hourly","$1.9350 hourly","$0.8616 hourly"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","50 Gigabit","$3.1262 hourly","$1.9695 hourly","$0.9637 hourly"
"R5AD 12xlarge","r5ad.12xlarge","384.0 GiB","48 vCPUs","AMD EPYC 7571","2.5 GHz","1800 GB                 (2 * 900 GB NVMe SSD)","64-bit","10 Gigabit","$3.1440 hourly","$1.9810 hourly","$1.2581 hourly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","167760 GB                 (12 * 13980 GB NVMe HDD)","64-bit","40 Gigabit","$3.1540 hourly","$1.9870 hourly","$0.8099 hourly"
"R7I 12xlarge","r7i.12xlarge","384.0 GiB","48 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","18.75 Gigabit","$3.1752 hourly","$2.1004 hourly","$0.9197 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.4 GHz","EBS only","64-bit","25 Gigabit","$3.2000 hourly","$1.9824 hourly","$1.2845 hourly"
"M7I 16xlarge","m7i.16xlarge","256.0 GiB","64 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","25 Gigabit","$3.2256 hourly","$2.1337 hourly","$0.8650 hourly"
"R6G 16xlarge","r6g.16xlarge","512.0 GiB","64 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","25 Gigabit","$3.2256 hourly","$2.0321 hourly","$0.6875 hourly"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","25 Gigabit","$3.2256 hourly","$2.0328 hourly","$0.9078 hourly"
